Transaction ID,Date,Customer ID,Gender,Age,Location,Product Category,Quantity,Price per Unit,Total Amount,Payment Method,Shipping Type,Subscription Status,Promo Code Used,Discount Applied,Previous Purchases,Frequency of Purchases,Churn
41,7/16/2023,CUST889,Female,33,Illinois,Electronics,2,334,668,Google Pay,Standard,No,Yes,Yes,44,Quarterly,Yes
42,5/2/2023,CUST735,Male,34,North Carolina,Sports,4,26,104,Credit Card,Next Day Air,Yes,No,No,48,Bi-Weekly,No
43,11/3/2024,CUST480,Female,54,Florida,Books,1,745,745,PayPal,Next Day Air,No,Yes,No,17,Weekly,Yes
44,1/5/2024,CUST920,Female,25,Texas,Clothing,2,776,1552,Credit Card,Next Day Air,Yes,No,No,9,Bi-Weekly,No
45,11/14/2024,CUST174,Female,40,Texas,Electronics,5,329,1645,Venmo,Standard,Yes,No,No,41,Daily,Yes
46,5/27/2023,CUST937,Female,61,New York,Books,5,869,4345,Cash,Standard,Yes,Yes,No,35,Monthly,No
47,1/17/2025,CUST210,Male,32,California,Clothing,3,245,735,Venmo,Express,No,No,No,6,Monthly,Yes
48,12/26/2023,CUST467,Male,37,Texas,Beauty,5,947,4735,Credit Card,Free Shipping,No,Yes,Yes,12,Bi-Weekly,No
49,9/17/2023,CUST922,Female,60,Michigan,Electronics,3,,1455,Cash,Standard,No,,Yes,48,Weekly,Yes
50,1/17/2024,CUST252,Male,45,Texas,Clothing,2,960,1920,Apple Pay,Express,Yes,No,No,1,Daily,No
51,3/24/2024,CUST186,Female,49,North Carolina,Beauty,3,398,1194,Credit Card,Free Shipping,No,Yes,No,21,Monthly,Yes
52,12/4/2023,CUST700,Male,46,Illinois,Beauty,2,720,1440,Google Pay,Free Shipping,No,No,No,50,Quarterly,No
53,1/26/2024,CUST182,Female,46,Florida,Footwear,5,290,1450,PayPal,Standard,No,No,No,11,Monthly,Yes
54,7/18/2024,CUST391,Female,38,Georgia,Sports,3,585,1755,PayPal,Express,Yes,No,No,47,Bi-Weekly,No
55,8/9/2024,CUST733,Male,47,Michigan,Books,1,626,626,Apple Pay,Express,Yes,No,No,27,Daily,Yes
56,6/20/2024,CUST780,Male,36,Georgia,Electronics,5,439,2195,Google Pay,Standard,No,Yes,Yes,6,Weekly,No
57,10/2/2024,CUST971,Female,25,New York,Home Decor,1,506,506,Apple Pay,Next Day Air,Yes,No,No,37,Daily,Yes
58,7/21/2023,CUST693,Male,49,North Carolina,Beauty,4,570,2280,Venmo,Free Shipping,No,No,No,1,Weekly,No
59,1/18/2025,CUST629,Female,22,California,Footwear,2,951,1902,,Standard,No,No,,9,,Yes
60,8/19/2023,CUST127,Male,31,Ohio,,4,107,428,Cash,Next Day Air,Yes,No,No,18,Quarterly,No
61,2/20/2025,CUST734,Male,36,Illinois,Beauty,3,258,774,Cash,Free Shipping,No,Yes,No,39,Bi-Weekly,Yes
62,9/12/2023,CUST772,Male,65,Illinois,Sports,1,856,856,Venmo,Standard,No,No,No,33,Weekly,No
63,8/14/2024,CUST367,Female,31,Ohio,Sports,3,717,2151,Debit Card,Free Shipping,No,Yes,No,30,Monthly,Yes
64,4/5/2023,CUST590,Female,63,California,Clothing,3,847,2541,PayPal,Standard,Yes,No,No,40,Monthly,No
65,8/30/2023,CUST725,Female,32,Illinois,Electronics,1,593,593,Debit Card,Standard,Yes,Yes,No,29,Daily,Yes
66,3/15/2024,CUST892,Male,27,Michigan,Books,3,519,1557,Cash,Free Shipping,No,No,No,37,Bi-Weekly,No
67,3/14/2025,CUST190,Male,35,Texas,Beauty,2,859,1718,Apple Pay,Free Shipping,No,Yes,No,3,Daily,Yes
68,2/18/2024,CUST936,Male,34,Texas,Footwear,1,622,622,PayPal,Express,No,No,No,14,Daily,No
69,10/25/2023,CUST769,Male,33,North Carolina,Books,1,685,685,Credit Card,Free Shipping,No,Yes,No,43,Monthly,Yes
70,10/29/2024,CUST584,Male,59,California,Beauty,2,246,492,Credit Card,Free Shipping,Yes,No,No,4,Bi-Weekly,No
71,5/15/2023,CUST983,Male,48,Michigan,Beauty,1,965,965,Credit Card,Express,Yes,No,No,31,Monthly,Yes
72,6/23/2023,CUST876,Male,27,Michigan,Home Decor,1,118,118,Google Pay,Standard,Yes,No,No,13,Monthly,No
73,12/26/2024,CUST157,Female,57,Michigan,Clothing,3,426,1278,Cash,Standard,Yes,Yes,No,48,Daily,Yes
74,9/9/2024,CUST197,Male,41,New York,Home Decor,2,988,1976,PayPal,Free Shipping,Yes,No,No,42,Quarterly,No
75,4/28/2024,CUST229,Male,41,Michigan,Beauty,3,816,2448,Venmo,Express,Yes,No,No,28,Bi-Weekly,Yes
76,10/31/2023,CUST362,Male,38,Ohio,Home Decor,3,724,2172,Venmo,Standard,Yes,Yes,No,43,Daily,No
77,5/23/2023,CUST223,Female,36,Georgia,Clothing,2,721,1442,Venmo,Standard,Yes,No,No,33,Weekly,Yes
78,12/1/2024,CUST463,Male,63,Texas,Footwear,5,742,3710,Venmo,Next Day Air,No,No,No,35,Weekly,No
79,6/23/2023,CUST762,Female,37,California,Electronics,4,988,3952,Cash,Free Shipping,Yes,Yes,No,34,Bi-Weekly,Yes
80,12/9/2023,CUST323,Male,29,Ohio,Sports,2,556,1112,Google Pay,Free Shipping,Yes,No,No,34,Daily,No
81,8/1/2023,CUST892,Male,59,Florida,Electronics,2,467,934,Debit Card,Next Day Air,Yes,Yes,No,16,Daily,Yes
82,11/5/2024,CUST106,Female,40,Florida,Electronics,2,755,1510,Apple Pay,Standard,No,Yes,No,18,Monthly,No
83,6/8/2023,CUST852,Female,63,Michigan,Electronics,3,319,957,,Next Day Air,No,Yes,No,35,Weekly,Yes
84,9/26/2024,CUST482,Male,40,North Carolina,Books,4,440,1760,Apple Pay,Standard,No,No,No,26,Daily,No
85,5/24/2023,CUST305,Male,36,North Carolina,Clothing,1,373,373,Venmo,Free Shipping,No,No,No,4,Quarterly,Yes
86,6/19/2024,CUST563,Male,63,Florida,Clothing,2,369,738,Google Pay,Next Day Air,Yes,No,No,46,Daily,No
87,10/24/2023,CUST978,Female,45,Texas,Clothing,4,244,976,Credit Card,Express,No,No,No,3,Bi-Weekly,Yes
88,9/16/2024,CUST661,Female,36,Georgia,Clothing,5,552,2760,Apple Pay,Express,No,Yes,No,25,Weekly,No
89,4/28/2024,CUST293,Male,56,North Carolina,Home Decor,2,852,1704,PayPal,Next Day Air,Yes,No,No,18,Bi-Weekly,Yes
90,6/27/2023,CUST159,Female,38,California,Clothing,5,933,4665,Credit Card,Express,No,No,No,14,Quarterly,No
91,2/15/2024,CUST479,Male,60,Ohio,Books,1,928,928,Google Pay,Standard,No,No,No,48,Daily,Yes
92,10/23/2024,CUST271,Male,26,Texas,Home Decor,1,807,807,Debit Card,Express,Yes,No,No,2,Bi-Weekly,No
93,1/27/2025,CUST548,Male,53,Illinois,Books,1,50,50,Credit Card,Next Day Air,No,No,No,48,Daily,Yes
94,1/24/2024,CUST462,Male,32,North Carolina,Home Decor,1,119,119,Venmo,Express,Yes,Yes,Yes,27,Bi-Weekly,No
95,3/18/2024,CUST148,Female,39,Michigan,Books,3,146,438,Debit Card,Free Shipping,Yes,No,No,24,Weekly,Yes
96,3/27/2023,CUST142,Male,29,New York,Clothing,3,851,2553,PayPal,Free Shipping,Yes,Yes,Yes,2,Bi-Weekly,No
97,2/1/2024,CUST769,Female,51,Florida,Sports,5,730,3650,Venmo,Express,No,No,No,19,Monthly,Yes
98,12/25/2024,CUST837,Male,53,Texas,Books,3,864,2592,Debit Card,Express,No,No,No,0,Monthly,No
99,11/24/2024,CUST133,Female,47,Texas,Footwear,3,808,2424,Cash,Next Day Air,No,No,No,43,Daily,Yes
100,7/2/2023,CUST817,Male,54,New York,Electronics,2,155,310,Venmo,Next Day Air,No,No,No,11,Bi-Weekly,No
101,5/12/2023,CUST864,Male,53,Georgia,Home Decor,2,678,1356,Credit Card,Free Shipping,No,Yes,No,12,Weekly,Yes
102,9/24/2023,CUST413,Female,45,Ohio,Home Decor,1,302,302,Venmo,Free Shipping,No,No,No,29,Monthly,No
103,9/12/2023,CUST108,Male,19,Michigan,Footwear,3,277,831,Apple Pay,Express,Yes,No,No,2,Quarterly,Yes
104,12/22/2024,CUST510,Female,54,Michigan,Beauty,2,349,698,Credit Card,Express,No,No,No,10,Bi-Weekly,No
105,3/3/2024,CUST536,Male,47,Illinois,Books,5,120,600,Credit Card,Standard,No,No,No,5,Daily,Yes
106,3/24/2024,CUST851,Female,27,Florida,Clothing,1,844,844,Venmo,Free Shipping,No,No,No,41,Bi-Weekly,No
107,5/28/2023,CUST991,Female,33,Georgia,Sports,5,931,4655,PayPal,Express,Yes,No,No,16,Quarterly,Yes
108,4/5/2023,CUST995,Male,59,Illinois,Clothing,2,191,382,Credit Card,Standard,No,Yes,Yes,20,Monthly,No
109,7/22/2024,CUST672,Female,36,North Carolina,Sports,4,153,612,Apple Pay,Standard,No,Yes,No,47,Bi-Weekly,Yes
110,5/28/2024,CUST722,Male,55,Illinois,Footwear,3,970,2910,Credit Card,Standard,No,Yes,No,20,Monthly,No
111,4/23/2023,CUST468,Male,21,North Carolina,Clothing,3,226,678,Venmo,Free Shipping,No,No,No,1,Monthly,Yes
112,6/24/2023,CUST340,Female,32,New York,Electronics,4,288,1152,Venmo,Free Shipping,Yes,No,No,46,Daily,No
113,3/9/2024,CUST509,Male,56,Illinois,Electronics,5,632,3160,Cash,Express,Yes,Yes,No,23,Weekly,Yes
114,1/3/2025,CUST565,Male,18,Texas,Clothing,3,536,1608,Google Pay,Free Shipping,No,Yes,No,14,Monthly,No
115,1/9/2024,CUST621,Male,52,Michigan,Home Decor,5,795,3975,PayPal,Express,Yes,No,No,40,Monthly,Yes
116,8/17/2023,CUST578,Male,43,California,Footwear,1,883,883,Cash,Express,Yes,No,No,5,Weekly,No
117,12/18/2023,CUST711,Male,20,Michigan,Footwear,5,669,3345,Credit Card,Standard,Yes,Yes,No,9,Quarterly,Yes
118,7/3/2023,CUST918,Male,27,Ohio,Electronics,2,742,1484,Debit Card,Free Shipping,No,Yes,Yes,47,Quarterly,No
119,12/8/2023,CUST616,Female,23,Texas,Footwear,4,59,236,Cash,Express,No,No,No,15,Quarterly,Yes
120,4/9/2024,CUST994,Female,46,Florida,Home Decor,4,923,3692,PayPal,Standard,No,Yes,No,27,Monthly,No
121,11/27/2023,CUST486,Male,58,Illinois,Sports,3,827,2481,Venmo,Free Shipping,No,Yes,No,1,Bi-Weekly,Yes
122,2/6/2024,CUST731,Female,30,Texas,Footwear,2,952,1904,PayPal,Free Shipping,Yes,Yes,No,19,Bi-Weekly,No
123,7/15/2023,CUST450,Female,54,Florida,Electronics,3,397,1191,PayPal,Express,Yes,No,No,4,Quarterly,Yes
124,9/3/2024,CUST235,Male,53,Texas,Clothing,1,745,745,Apple Pay,Express,Yes,No,No,33,Daily,No
125,1/3/2025,CUST651,Female,28,Georgia,Electronics,3,176,528,PayPal,Free Shipping,No,No,No,29,Quarterly,Yes
126,2/9/2025,CUST412,Male,28,New York,Electronics,1,670,670,Cash,Express,No,Yes,Yes,34,Bi-Weekly,No
127,10/5/2023,CUST675,Male,46,Ohio,Sports,2,369,738,Google Pay,Free Shipping,No,Yes,Yes,29,Bi-Weekly,Yes
128,8/26/2023,CUST927,Female,60,Ohio,Home Decor,3,164,492,Debit Card,Free Shipping,Yes,No,No,42,Daily,No
129,5/2/2023,CUST301,Male,34,Michigan,Books,2,87,174,Apple Pay,Free Shipping,Yes,Yes,Yes,6,Quarterly,Yes
130,6/3/2023,CUST132,Male,54,North Carolina,Home Decor,4,827,3308,Cash,Next Day Air,Yes,No,No,23,Daily,No
131,3/26/2024,CUST138,Male,19,New York,Books,3,357,1071,Apple Pay,Free Shipping,No,Yes,No,31,Weekly,Yes
132,10/18/2024,CUST713,Female,20,Michigan,Clothing,4,746,2984,Google Pay,Standard,No,Yes,Yes,50,Bi-Weekly,No
133,2/13/2024,CUST531,Female,30,Florida,Books,3,871,2613,Cash,Standard,No,Yes,No,38,Quarterly,Yes
134,2/22/2024,CUST627,Male,30,Michigan,Clothing,1,128,128,Debit Card,Next Day Air,No,Yes,No,0,Quarterly,No
135,1/9/2025,CUST963,Female,49,Michigan,Electronics,5,899,4495,Google Pay,Free Shipping,Yes,No,No,30,Daily,Yes
136,2/15/2025,CUST408,Male,51,Florida,Beauty,3,231,693,Google Pay,Express,Yes,Yes,No,14,Daily,No
137,11/24/2023,CUST968,Male,53,New York,Books,4,146,584,PayPal,Next Day Air,Yes,Yes,Yes,9,Weekly,Yes
138,2/27/2025,CUST140,Female,52,California,Beauty,4,766,3064,Venmo,Express,Yes,No,No,10,Quarterly,No
139,7/5/2024,CUST957,Male,29,New York,Electronics,5,790,3950,Venmo,Free Shipping,No,Yes,No,34,Monthly,Yes
140,6/3/2024,CUST444,Female,30,Illinois,Footwear,5,122,610,Google Pay,Next Day Air,No,No,No,1,Weekly,No
141,6/11/2023,CUST524,Female,34,Ohio,Footwear,5,491,2455,PayPal,Free Shipping,No,Yes,No,32,Monthly,Yes
142,12/30/2023,CUST806,Female,30,California,Sports,2,251,502,Credit Card,Express,Yes,Yes,Yes,36,Monthly,No
143,2/21/2024,CUST685,Female,47,Texas,Home Decor,5,119,595,Google Pay,Free Shipping,No,No,No,46,Bi-Weekly,Yes
144,5/11/2023,CUST700,Female,43,North Carolina,Electronics,5,815,4075,Credit Card,Express,No,Yes,No,41,Weekly,No
145,4/10/2024,CUST172,Female,55,Georgia,Home Decor,5,728,3640,Cash,Express,No,Yes,Yes,33,Quarterly,Yes
146,4/4/2023,CUST814,Male,25,Illinois,Footwear,2,887,1774,Venmo,Free Shipping,No,No,No,24,Daily,No
147,12/30/2024,CUST377,Female,53,California,Beauty,5,16,80,Credit Card,Free Shipping,Yes,No,No,11,Bi-Weekly,Yes
148,9/27/2023,CUST736,Male,61,New York,Footwear,3,224,672,Cash,Next Day Air,No,Yes,Yes,9,Bi-Weekly,No
149,7/27/2024,CUST935,Male,57,North Carolina,Footwear,4,811,3244,Apple Pay,Express,Yes,No,No,8,Quarterly,Yes
150,4/2/2024,CUST619,Male,31,Michigan,Beauty,2,862,1724,Cash,Next Day Air,No,No,No,23,Daily,No
151,9/4/2024,CUST740,Female,19,California,Books,1,223,223,Venmo,Free Shipping,No,Yes,Yes,19,Quarterly,Yes
152,10/27/2023,CUST597,Female,44,New York,Books,4,389,1556,Google Pay,Standard,Yes,Yes,Yes,26,Daily,No
153,2/28/2025,CUST667,Female,51,Illinois,Home Decor,2,751,1502,Cash,Express,Yes,No,No,42,Monthly,Yes
154,7/20/2023,CUST214,Male,60,Ohio,Clothing,3,715,2145,Cash,Express,No,No,No,0,Daily,No
155,9/21/2023,CUST977,Female,23,New York,Home Decor,4,263,1052,Venmo,Next Day Air,Yes,No,No,30,Daily,Yes
156,1/24/2025,CUST602,Female,19,Texas,Sports,3,912,2736,Apple Pay,Express,Yes,No,No,28,Bi-Weekly,No
157,9/14/2024,CUST804,Male,41,Florida,Sports,1,153,153,Venmo,Standard,No,No,No,13,Bi-Weekly,Yes
158,10/9/2023,CUST311,Male,43,Michigan,Clothing,3,443,1329,Apple Pay,Standard,Yes,Yes,Yes,19,Quarterly,No
159,10/8/2024,CUST262,Male,24,California,Clothing,2,143,286,Credit Card,Express,No,No,No,0,Quarterly,Yes
160,3/6/2024,CUST161,Male,57,New York,Home Decor,4,513,2052,Venmo,Express,Yes,No,No,42,Bi-Weekly,No
161,1/11/2024,CUST149,Male,58,Michigan,Footwear,1,895,895,Cash,Next Day Air,Yes,No,No,37,Weekly,Yes
162,2/1/2025,CUST411,Male,32,New York,Home Decor,1,399,399,Cash,Express,No,Yes,Yes,45,Quarterly,No
163,1/8/2025,CUST875,Male,28,Florida,Beauty,5,622,3110,Apple Pay,Standard,Yes,Yes,No,2,Daily,Yes
164,11/30/2023,CUST167,Male,31,Illinois,Electronics,1,194,194,Apple Pay,Express,Yes,No,No,30,Quarterly,No
165,5/5/2023,CUST302,Female,63,California,Beauty,2,638,1276,Apple Pay,Standard,Yes,Yes,Yes,50,Daily,Yes
166,10/27/2023,CUST552,Male,51,North Carolina,Electronics,3,554,1662,Apple Pay,Next Day Air,No,Yes,No,32,Daily,No
167,9/27/2023,CUST538,Male,18,New York,Footwear,4,102,408,Credit Card,Standard,No,No,No,28,Monthly,Yes
168,4/20/2023,CUST188,Male,26,Illinois,Home Decor,2,233,466,PayPal,Next Day Air,No,Yes,No,49,Monthly,No
169,6/7/2024,CUST849,Male,28,Ohio,Home Decor,4,66,264,Cash,Express,Yes,No,No,25,Daily,Yes
170,2/25/2025,CUST783,Female,35,North Carolina,Home Decor,2,765,1530,Venmo,Express,No,No,No,13,Bi-Weekly,No
171,12/13/2023,CUST911,Male,40,New York,Sports,2,597,1194,Google Pay,Free Shipping,Yes,Yes,No,26,Daily,Yes
172,1/9/2025,CUST772,Female,20,Florida,Sports,2,178,356,Apple Pay,Next Day Air,Yes,No,No,19,Monthly,No
173,1/28/2025,CUST683,Male,43,Florida,Footwear,5,781,3905,Credit Card,Free Shipping,Yes,Yes,No,1,Quarterly,Yes
174,12/14/2023,CUST456,Male,40,Georgia,Sports,2,401,802,Google Pay,Free Shipping,Yes,Yes,No,20,Quarterly,No
175,4/13/2024,CUST339,Female,51,New York,Electronics,1,370,370,Google Pay,Standard,No,Yes,Yes,24,Daily,Yes
176,7/17/2023,CUST258,Male,47,California,Clothing,1,800,800,Cash,Standard,No,No,No,30,Quarterly,No
177,1/13/2024,CUST775,Male,59,North Carolina,Beauty,1,33,33,PayPal,Next Day Air,No,No,No,4,Quarterly,Yes
178,9/22/2024,CUST464,Male,39,North Carolina,Sports,5,231,1155,Apple Pay,Free Shipping,Yes,No,No,31,Quarterly,No
179,9/3/2023,CUST200,Male,65,New York,Clothing,1,65,65,Apple Pay,Express,Yes,No,No,13,Daily,Yes
180,11/14/2023,CUST684,Female,49,California,Home Decor,1,718,718,Venmo,Express,No,Yes,No,16,Monthly,No
181,11/9/2023,CUST917,Male,62,North Carolina,Home Decor,1,206,206,Debit Card,Next Day Air,No,No,No,24,Quarterly,
182,3/9/2024,CUST748,Male,32,Georgia,Clothing,3,94,282,Apple Pay,Free Shipping,Yes,No,No,2,Quarterly,No
183,6/23/2023,CUST663,Female,63,Michigan,Books,2,725,1450,Debit Card,Free Shipping,No,No,No,8,Weekly,Yes
184,8/10/2024,CUST764,Female,49,Georgia,Books,4,87,348,PayPal,Standard,Yes,Yes,Yes,33,Bi-Weekly,No
185,1/5/2025,CUST153,Male,19,Ohio,Beauty,1,701,701,Google Pay,Free Shipping,Yes,No,No,44,Weekly,Yes
186,10/11/2023,CUST699,Female,58,Ohio,Beauty,3,897,2691,Google Pay,Standard,No,Yes,Yes,21,Daily,No
187,3/3/2024,CUST605,Male,49,Florida,Sports,5,592,2960,Google Pay,Free Shipping,No,No,No,10,Quarterly,Yes
188,1/25/2025,CUST242,Female,49,Georgia,Electronics,4,676,2704,Apple Pay,Free Shipping,Yes,No,No,37,Bi-Weekly,No
189,10/23/2023,CUST673,Male,41,Ohio,Books,5,142,710,Debit Card,Next Day Air,Yes,No,No,40,Daily,Yes
190,7/23/2024,CUST250,Female,53,Georgia,Electronics,2,867,1734,PayPal,Express,No,Yes,No,34,Monthly,No
191,9/3/2024,CUST682,Male,54,California,Electronics,4,99,396,Apple Pay,Free Shipping,Yes,No,No,43,Monthly,Yes
192,5/11/2023,CUST337,Female,18,Illinois,Clothing,1,455,455,Credit Card,Next Day Air,Yes,No,No,48,Bi-Weekly,No
193,1/16/2025,CUST986,Male,64,Texas,Clothing,2,655,1310,Debit Card,Express,Yes,Yes,Yes,49,Quarterly,Yes
194,7/1/2024,CUST728,Female,47,New York,Home Decor,4,520,2080,PayPal,Express,Yes,No,No,25,Weekly,No
195,11/23/2023,CUST680,Male,54,California,Sports,3,208,624,PayPal,Next Day Air,Yes,Yes,Yes,30,Monthly,Yes
196,10/15/2024,CUST119,Female,40,Georgia,Books,4,779,3116,Credit Card,Standard,Yes,No,No,19,Daily,No
197,2/17/2024,CUST372,Female,42,Georgia,Footwear,1,359,359,Google Pay,Free Shipping,Yes,No,No,31,Quarterly,Yes
198,9/22/2024,CUST832,Female,20,Texas,Sports,5,764,3820,PayPal,Standard,No,Yes,Yes,22,Bi-Weekly,No
199,2/10/2024,CUST426,Female,65,Illinois,Clothing,2,121,242,Venmo,Next Day Air,Yes,Yes,Yes,42,Quarterly,Yes
200,7/2/2024,CUST331,Male,48,Florida,Footwear,4,276,1104,Venmo,Express,No,Yes,No,41,Monthly,No
201,10/12/2023,CUST495,Male,29,Florida,Sports,4,677,2708,Venmo,Standard,Yes,No,No,14,Quarterly,Yes
202,12/15/2023,CUST289,Female,50,New York,Home Decor,2,121,242,Cash,Next Day Air,No,Yes,Yes,31,Quarterly,No
203,11/5/2024,CUST317,Female,53,California,Books,4,488,1952,PayPal,Next Day Air,Yes,Yes,No,22,Daily,Yes
204,3/20/2024,CUST273,Female,18,California,Home Decor,5,320,1600,Venmo,Free Shipping,Yes,No,No,35,Daily,No
205,9/6/2023,CUST589,Male,43,California,Clothing,3,564,1692,Google Pay,Standard,No,Yes,Yes,30,Bi-Weekly,Yes
206,10/3/2024,CUST402,Male,23,Michigan,Footwear,5,356,1780,Cash,Free Shipping,No,No,No,11,Weekly,No
207,2/20/2025,CUST458,Female,65,Michigan,Books,1,980,980,Google Pay,Free Shipping,No,Yes,No,7,Monthly,Yes
208,8/7/2024,CUST938,Male,53,North Carolina,Electronics,5,965,4825,Venmo,Next Day Air,No,Yes,No,15,Weekly,No
209,8/21/2023,CUST136,Male,22,Texas,Sports,3,780,2340,Debit Card,Next Day Air,No,No,No,6,Daily,Yes
210,2/8/2024,CUST874,Male,42,Texas,Home Decor,2,742,1484,Apple Pay,Standard,No,Yes,No,26,Quarterly,No
211,8/14/2024,CUST248,Male,58,Michigan,Beauty,4,195,780,Venmo,Standard,No,No,No,19,Weekly,Yes
212,1/27/2025,CUST434,Female,20,Michigan,Books,3,208,624,Apple Pay,Standard,No,Yes,Yes,20,Bi-Weekly,No
213,11/22/2024,CUST813,Female,60,Georgia,Sports,2,95,190,Google Pay,Free Shipping,No,Yes,Yes,33,Weekly,Yes
214,1/11/2025,CUST826,Male,35,California,Sports,5,104,520,Debit Card,Next Day Air,No,Yes,Yes,46,Bi-Weekly,No
